customer_tweet_id,customer_text,golden_intent
300504,I never expected @115821 @115850 for such a cheap behaviour. Order a product few days ago but they cancelled.  #AmazonGreatIndianFestival,
114377,@AmazonHelp No because I only found out now as I had to manually track the delivery. If I'd have been made aware this morning I could easily have provided an alternative delivery address.,
249080,.@120533 Donc ça coûte toujours plus cher d'acheter un livre pour Kindle que de se le faire livrer en version papier? 🤦🏻‍♂️ https://t.co/lSIhDKU9j5,
204974,アマゾンで頼んでたやつ来た https://t.co/TkHJ2rQIZ7,
319501,@AmazonHelp I have already done that before. I did it again.,
11064,"@AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve.",
130783,Amazon keeps fucking cancelling my order. Doesn’t even tell me why,
291743,"@AmazonHelp The seller had asked us to return a product that was broken in transit, once it was shipped he stopped replying to emails",
264753,Dear @115850 Thank u 4 ur pathetic service delivery &amp; customer experience. Don't fool customer on the name of Prime &amp;1 day delivery.,
108288,.@6325 not sure why my @115821 account always seems to get disconnected. What’s up?,
206738,@AmazonHelp No on both accounts,
318583,@115850 @1560 Tried contacting delivery boy on +91800709912 who is either disconnecting or not answering my calls,
284364,"Ay @115821 I got free two day shipping, yet my package won't arrive for 6 days...",
77397,"@AmazonHelp Impossível escolher um só hahahahaha. Dumbledore, Snape, Rony, Hermione, Harry, Siriús, Voldemort, Minerva, Chapéu seletor, Dobby que reina em meu coração, Belatriz... Impossível escolher apenas um kkkkk.",
294274,@AmazonHelp Amazon still sleeping. Our problem unresolved. We r robbed of 38999 rs. by Amazon and despite repeated reminders no action,
267297,"Still trying to get #BPG: In Spades up on @117634, but it seems not to take for some reason.😡
Last time I try b4 I erase it&amp;
..",
65763,@AmazonHelp @117634 why does the refurbished black kindle not ship to Northern Ireland but it’s the white one does?!🤷🏻‍♀️😐,
275524,@AmazonHelp Everything is filled from our side. Please confirm replacement of product by today EOD.,
130836,"@AmazonHelp @115850 @115821 @7507 Full of fake commitment of amazon, they do not respect there customer",
319789,Added 6K in amazonpay(Order#171-0522333-2740368).I used partially.I requested to return in my account.But not returning @115850 help me,
30496,"Someone opened my amazon package, and retaped it. I don't know if it was the delivery driver or someone in the neighborhood",
123420,うわぁ…携帯のショートメールでAmazonの会員登録料未納です、とかいう迷惑メール来た。。。Amazonはいつもお知らせはちゃんとメールなのにイキナリそんな重要なお知らせショートメールで来るわけないのに。。しかも支払いカード払いだし。。すごい詐欺してるなぁ,
285619,@AmazonHelp It’s been more than 1 week. Still no issue resolve. I believe it’s Better to get in touch with call rather to explain the thing on mail.,
317626,@AmazonHelp have ordered one plus 3t from Amazon sale on no cost emi. Now bank is charging amount with interest. What is the benefit of it?,
249915,@AmazonHelp Sent my details a while back.. nobody has contacted me yet..😐,
205100,@AmazonHelp Still can't understand what my Prime membership is for if I have to wait 5 days for an order.,
16784,"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",
108195,"@115830 Hi, I’ve received a parcel today, signed for by a neighbour who I don’t know, the box is like this. Items missing, can you help? https://t.co/vTNWpowLm7",
321107,"Ich muss an dieser Stelle einmal anmerken, wie schlecht die Benutzeroberfläche vom @AmazonHelp-Fire-TV-Stick seit dem Update neulich ist. 😤",
162148,@AmazonHelp Why????????? https://t.co/IOYs2m3upb,
179704,@AmazonHelp needful done.. and believe me Amazon services has been Degraded as compare to @118702 @115850,
135011,読めるか不安で迷っていたけど、結局Amazonでポチ。届きました(^.^)仕事で疲れてバテバテだったけど楽しみができた！ https://t.co/T7cWt1WxcC,
50786,@120533 @AmazonHelp va t-on recevoir notre exemplaire de #CODWWII des demain s'il vous plait ? https://t.co/YhguKdkxyQ,
236147,"@120540 Ciao, ho annullato un ordine in quanto tempo riceverò il rimborso sulla mia carta di credito",
136236,5th Day still not responce from @115821.. and @AmazonHelp #Twitter handle is useless less.. #Amazon hired them just frwd links.. not for help.. https://t.co/y5E9DBplTg,
224606,"Wow, @115821 Canada just billed me (again) for an order that I had paid for in August and received in Sept. #WTF #CustomerService",
232861,@115821 amazon is cheating with their prime customers,
137158,"@115830 despite pre-ordering weeks in advance, my prime order is now 2 days overdue?",
75966,@AmazonHelp 確認したら、娘のスマホでプライム会員になってました。でも、会員に登録した事ないそうです。とりあえず、解約出来きました。ありがとうございます。,
105115,"@AmazonHelp  You guys sucks, you have the worst support ever.",
180439,@AmazonHelp second failed delivery - building is a business - driver didn’t attempt today - will there be an issue delivering??,
74557,一生さんもキスマイもすごい露出で全然追いつけてない…ていうかAmazonから荷物届かないしょぼーーーん！,
180834,@AmazonHelp but is the resolution ??? only sorry ????? writing 1000 time giving all evidence and finally one-word sorry WTF @115851,
270293,"@AmazonHelp Still showing MRP 10975, you are just misleading your customers. Please me exact percentage of difference or delivered me with MRP 10975",
334090,@115850 size issue is there in branded clothing sections..plz update them asap..make the filter/sorting section of app more user friendly.,
135050,"@AmazonHelp Yes I have, crossed checked my Credit Card as well, used to for other purchase on a different website but happened twice at Amazon..",
83399,@AmazonHelp Wow could you guys suck anymore you disconnected my chat window when trying to get this resolved,
74613,"@115821 has been disappointing lately. The only reason I have prime is for the 2 day shipping, my last 3 orders have all been hella late. Don’t make promises, what you can’t keep. 😢",
291318,@AmazonHelp Also I preordered this book over a month ago.,
255070,@AmazonHelp @115850 Please reply soon. Deal is getting over soon. Ping.,
91393,@AmazonHelp How can you find my order of i didnt ordered it!! My brother ordered it for me and i received a defective one. And you are not listening at all. Provide me a refund!! This is going to be my last tweet if you are not going to solve @115850,
274697,"@AmazonHelp No reply frm ur team ,evry time i need to beg them..#worstservice#",
281426,"@AmazonHelp I've been rung about 15 times today. I didn't contact CS. I have now spoken to someone and the calls have stopped, thankfully. Thank you.",
230223,@115821 I have been a loyal customer but sadly have been cheated. I brought an iPhone 6s 128gb last year and when it gave issues i took it,
173445,"Hola @AmazonHelp  necesito de su ayuda, ya que hoy tenían programado una entrega de un libro que compre un día para otro y a un no llegue el libro que compre espero que me pueda ayudar.",
274605,@AmazonHelp just got a reply from the customer services team and they've refunded me. would have been nice to have had my case but what can ya do (:,
153677,"@AmazonHelp Thanks, that's what I wanted to hear.",
180595,"@115851 @115850 Hi Team ,  As sugessted I have gone ahead and raised the dispute and its filled with you by my bank.. Request u to please call &amp; update....",
42553,@AmazonHelp I don't think the package is damaged.Rather carrier communication issue. Why else the changing stories ?found out about return from email.,
142857,@AmazonHelp Not able to access the link can you DM me a number.,
222664,@AmazonHelp Grazie. Una volta ordinato basta ritagliare gli adesivi per adattarli alla dimensione del PC?,
142128,"Estoy hasta los .... de los señores de @80, no sé si se ríen de mí, de @116928 o de ambos...",
42477,@AmazonHelp Nothing at all.,
337433,wieso springt meine Alexa immer während Filmen an @116316,
140925,@115821 goods never received on March order.  Repeatly contacted seller. #help,
250584,@AmazonHelp The estimated time is usually twice as long as reality and customers know that. Est delivery in this case is 23-24. It's going to be tough to name it by Fri. The other piece ordered was here on the 20th.,
69858,@116928 tengo un problema con un envio. Correos me dice que no lo tienen pero la pagina de amazon si pone que ha llegado al transportista gracias,
272442,@116875 te amo,
108143,@117804 Comprei ;),
142911,¿Alguien sabe cuánto dura el Black Friday de @116928? ¿Es solo hoy?,
86217,@AmazonHelp Hola... acordamos la entega dia de ayer pero nadie se ha reportado,
320363,"@AmazonHelp wrst srvce, bought moto g5 S + , rported prblm within 10 days but no one is replacing the product. @118702 @4030",
20734,"@120533 @120534 J'ai demandé le remboursement @120533
Coucou @120535 plus la peine de vous pointer (si un jour vous pensiez vraiment livrer)",
206000,@AmazonHelp Please read this conversation thread. We’ve been through this already,
129713,@AmazonHelp I completely give up your new in android app chat support is useless and the agents are rude,
284322,@115821 I ordered &amp; did online payment.its not delivered to me. when I call the CS# it says its already delivered. Order 405-9931641-9996321,
25952,@AmazonHelp Fresh completely ignored my messages and you guys just ask how u can help then disappear when i ask. https://t.co/XPjmFqRyA4,
334905,@120474 I still haven't received my tickets for Micky Flanagan on the 12/10/17. Please help!!,
169549,It sucks when you pay extra for @115830 #prime next day delivery on something you ordered Wednesday and see this in your inbox on Friday night. What exactly am I paying extra for? https://t.co/gryAUlYEZr,
322608,@AmazonHelp @115850 Am sorry the portal link shared is not accessible. Please advise.                                       Order# 402-7304771-1258725 https://t.co/i9NSPiTxUA,
215037,@AmazonHelp hi i pre ordered star wars battlefront 2 and haven’t received my beta code,
301085,Wow @AmazonHelp https://t.co/XnorRAovPg,
327081,"Would love to know what's going on with @115821, taken £79 out of my account for Prime yet apparently I don't have prime? Thanks for that.",
142929,@AmazonHelp Pues que llevo desde las ocho y media de la mañana intentndo colgar un libro. Y es imposible.,
105082,@AmazonHelp Leider kam es gestern nicht und heute auch nicht... im System steht seit gestern Ankunft zw gestern und morgen beim Kauf wurde mir aber der Mittwoch garantiert...,
183721,@119625 Hey prime video team is there any option to change aspect ratio from 4:3 to 16:9. I am watching doreamon.,
324458,@AmazonHelp PLEASE HELP. my account has been hacked. i’ve sent a dm about all the info,
185811,@115850 Today my iPhone should have been delivered but till it isn't delivered. Kindly deliver it. https://t.co/ZMRbtoM6z0,
326385,"@AmazonHelp so if it says dispatched on the 13th, which is my birthday by the way, will i be charged on my birthday ?",
59520,@115850 When will iPhone X will be back in stock?,
125334,"@116875 Hola amazon, necesito saber que pasó con un pedido que me tenía que llegar hoy, mi código de rastreo no sirve",
24959,"@AmazonHelp I will not do that, m fed up of doing thst and you people keep repeating same, now just refund my money",
297379,"@AmazonHelp @115850 
If you could kindly make a note https://t.co/qXysA4JMH2",
18721,"@AmazonHelp Seems like it's a random issue, checked just now mike and molly episodes are back",
197381,Oi @117086 tenho interesse rs!,
95432,@AmazonHelp Grazie!,
63981,hola @116928 no se nada de mi pedido  403-3195704-8493158. 😅Me pueden ayudar? Gracias¡,
316531,@115850 worst customer care support from your site ..I didnt expect this from brand name of yours,
71935,"@AmazonHelp Good morning, do you have any information about when will Intel Core i5 8400 CPU be available to buy? Thanks!",
274860,@AmazonHelp 楽しみ過ぎて待てないです,
126365,@AmazonHelp anyone here for some quick chat,
107236,"Today I had an @115830  delivery driver break into my locked garage to deliver my parcel... Points for determination, but negative points for breaking and entering.
#whatweretheythinking",
128720,"@115850 when you can't facilitate what has been committed, then what is the use of Amazon prime membership.",
69633,@AmazonHelp Why are you still showing it as available next day?,
170997,I ordered it this morning to arrive tomorrow. Get your shit together @115821 https://t.co/2S0otUQnXj,
278847,"@AmazonHelp Yes.. 2 have been returned fine(collection) One is still awaiting return.
I'm tweeting to complain about how we've been treated.",
328716,@115850 hey guys how can I change the default Kindle device ? I have a couple of devices in my account and it annoying each and every time to change the device. I want to set one I use more frequently as a default one to send the sample or purchased books directly,
5127,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,
280200,"Amazonでスーファミミニを予約して楽しみに待ってたのに、突然配送が戻されて、勝手に注文がキャンセルされてる！怒り爆発で電話したら、『至急担当からメールさせます』と言ったきり連絡もなく。
こちらに不備はないのに何故？もう怒りと悲しみで倒れそう(；ω；)",
313444,@AmazonHelp Yes. I tried. 4-5 times. Each time told a different reason. It's been more than 2 wks that I ordered the product.,
226085,"@AmazonHelp Okay, kann ich den Artikel denn jederzeit stornieren? 
Weil es ja kein garantierten Termin gibt? 
Wann wird das Geld abgebucht?",
142958,"Feel good having done most of my shopping early, but if Rafael van der Vaart is going cheap on Amazon at 10.30 tonight I'll be on it like Sonic.",
130873,アマゾンからお届けものきたぞー https://t.co/hGb3AsgQqs,
140935,"@AmazonHelp Your delivery service has lost my parcel, but are saying it has been delivered. It can't possibly have been as no one was home. What exactly am I supposed to do now?",
66204,"@AmazonHelp I’m afraid I need to retract that?!  After numerous emails &amp; phone calls, still not sorted! The words were great, just not the actions to follow it up 😩😩😩",
77628,"@4586 genau so schnell wie @116316 #Prime, trotz Vorkasse #respekt  #primefailed https://t.co/xpGShy0Wlq",
274254,@AmazonHelp Your system doesn't allow me to request a call back via a switchboard and extension number,
250682,"@AmazonHelp Ya solicité mi devolución 
Muchas gracias",
132372,@AmazonHelp I ordered item Order # 026-9925496-9968316 on the 17th Nov via Prime. It has still not arrived. Any ideas where it is??? Not happy!,
166506,@AmazonHelp Hey. Yes it is up to date. Same with the app which needed a download then an instant update. It’s just stuck on that loop. All other apps work. I looked at that link before and checked against it. Any other ideas? Have you had issues with the PS3 app at all?,
282181,@AmazonHelp @AmazonHelp @115850 ur team not giving me proper response abt my product if u r not able do this plz closed your shop not go to home...,
120164,"@AmazonHelp AMZL US?

And says it was out for delivery but status says it's lost.",
10631,"el soporte al cliente de @115821 es tan buena onda, que dan ánimos de contactarlos sólo para platicar con ellos :P",
180119,@AmazonHelp Any updates ?,
322017,@AmazonHelp Filled the form,
317502,@AmazonHelp Sold by Poundmax,
132530,"@AmazonHelp Thanks for getting back :) there is a vicious rumour that it will be back later, if (a big If, I know) it is, the current product page says it won't ship to Northern Ireland. Would there be any way around this?",
265005,l refuse to order through amazon until they stop using their shitty yellow envelopes as literally my past 5 orders have come damaged.,
256688,@115850 when will I get cash back and how ?,
172285,Super #kawaii #kitty #phonecase from #Amazon @115821 https://t.co/bz7WFVG0te,
67427,@11__credit_card__ could you please provide me whose delivering this and his number cause I gotta leave my house soon,
295380,Ordered a Disney jigsaw puzzle from @115830 as a present for my mum’s birthday and it comes like this! Good job it wasn’t a surprise 😡😡😡 https://t.co/bdDdjp0FIy,
21852,@AmazonHelp I attached the snapshot of that,
44711,"@AmazonHelp Por un vendedor externo , SuperStore2014 se llama.",
210485,"Anyone ever order something from @115821 and for some reason gets delivered to freaking New Brunswick, NJ... but you live in SoCal?? 🤦🏻‍♀️",
74314,@AmazonHelp And then it turns up at 20:30. FFS!,
134924,"@AmazonHelp I have another parcel being delivered today, but this one (the only one I actually care about selfishly), seems to be in the ether.",
266859,@AmazonHelp my package says delivery but there is nothing at my door! How do I report it??,
156663,"@AmazonHelp Yes they did, but the products haven't come",
224842,@AmazonHelp It's on Amazon.in but transaction has been made on .uk,
336150,@AmazonHelp Xbox one nba 2k18,
197961,"@AmazonHelp @115851 was told someone from mobile will give a visit, but no one care. Issue still not resolved. Please initiate return",
223937,"@AmazonHelp @115850 I demand compensation as your representative kept making false statements. As you old, I have removed the order no from screenshot https://t.co/SWww7Fe0JW",
336546,@AmazonHelp thank you for your help tonight 👍🏼 https://t.co/ErHQ6afOPI,
91244,"Amazon Selling Fake Bose Speakers in India #Not offering Replacement #Fake Discount @AmazonHelp @ Amazon Scam in India #Poor CX #@5340 @131283 @132458 @132460 @119341 @115851 @121927 @135788 @5341 
@135789 @135788 @5342 @1755",
205194,プラネテスがAmazonプライムに追加されてる。DVD持ってるけど見るか。,
64202,"@AmazonHelp The form/link I was sent was my details for somebody to call me back, I’ve never given my email. Is there a number for a call centre in England I can ring? Or can you arrange for somebody to call me.",
170919,"@116875 buenas tardes Necesito ponerme en Contacto con algun especialista de cuenta, tuve un problema con la mia y por correo me atiende un bot y esto no me brinda la atención que necesito. agradeceria su ayuda.",
207605,"@AmazonHelp ¡Bandas sonoras! Pero de alguien en particular, ¡adivinen!",
331259,@AmazonHelp Je suis le seul a savoir que j’ai commander quelques chose🤔 et la personne du relais colis vérifie bien la carte d’identité,
130812,"@115850 hello good people of Amazon, my bf ordered a Polaroid camera but ended up paying 5k for a micro-usb cable? https://t.co/va6JAlwpAL",
127434,"O pedido que fiz às 18h de ontem na @117086 já consta como enviado e com código de rastreio! Excelentes descontos e frete grátis! Isso é que é eficiência na Black Friday, viu?! 🤘🏻👏🏻👏🏻👏🏻👏🏻🙏🏻🙌🏻",
