customer_tweet_id,customer_text,customer_time,amazon_tweet_id,amazon_reply,amazon_time
272,amazonのfireTVstickが見れない😢,Wed Nov 22 09:14:39 +0000 2017,269,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,Wed Nov 22 09:23:01 +0000 2017
271,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",Wed Nov 22 09:30:36 +0000 2017,273,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,Wed Nov 22 09:40:27 +0000 2017
274,@AmazonHelp こちらこそありがとうございました。,Wed Nov 22 09:44:04 +0000 2017,275,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,Wed Nov 22 10:06:26 +0000 2017
325,amazonプライムビデオ、再生エラーが多いです,Wed Nov 22 08:55:35 +0000 2017,324,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,Wed Nov 22 09:06:00 +0000 2017
617,Way to drop the ball on customer service @115821 so pissed right now!,Tue Oct 31 22:16:32 +0000 2017,615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:29:00 +0000 2017
616,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",Tue Oct 31 23:22:08 +0000 2017,618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:28:00 +0000 2017
621,@115823 I want my amazon payments account CLOSED.  dm me please.,Tue Oct 31 22:19:34 +0000 2017,620,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:28:34 +0000 2017
624,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",Tue Oct 31 22:12:37 +0000 2017,622,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",Tue Oct 31 22:28:00 +0000 2017
623,"@AmazonHelp Okay, danke für die Info",Tue Oct 31 22:32:07 +0000 2017,625,@115824 Wir haben zu danken. Schönen Abend noch. ^JS,Tue Oct 31 22:34:32 +0000 2017
628,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,Tue Oct 31 21:57:24 +0000 2017,626,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 22:28:00 +0000 2017
627,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Wed Nov 01 12:50:18 +0000 2017,629,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:53:34 +0000 2017
632,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",Tue Oct 31 21:34:58 +0000 2017,631,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,Tue Oct 31 22:27:00 +0000 2017
634,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,Tue Oct 31 21:39:58 +0000 2017,633,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 22:26:37 +0000 2017
