customer_tweet_id,customer_text,golden_intent,predicted_intent,decision,reason,reply,correct,evaluation_error
300504,I never expected @115821 @115850 for such a cheap behaviour. Order a product few days ago but they cancelled.  #AmazonGreatIndianFestival,return_cancellation,return_cancellation,ESCALATE,High-risk intent: return_cancellation requires human handling.,"I’m sorry to hear that your order was cancelled. Usually, a cancellation is followed by an email that explains the reason. Please check your inbox (and spam folder) for that message. If you don’t see it or need further help, let me know and I’ll guide you through the next steps.",True,
114377,@AmazonHelp No because I only found out now as I had to manually track the delivery. If I'd have been made aware this morning I could easily have provided an alternative delivery address.,delivery_missing,delivery_missing,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,"I’m sorry you’re having trouble changing the delivery address. Once an order has shipped, we can’t change the address. If you need to update it, please contact us via chat or phone for assistance.",True,
249080,.@120533 Donc ça coûte toujours plus cher d'acheter un livre pour Kindle que de se le faire livrer en version papier? 🤦🏻‍♂️ https://t.co/lSIhDKU9j5,prime_video_digital,product_seller,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,"Les prix des ebooks sont fixés par les éditeurs, tout comme les livres papier. Parfois un livre Kindle est moins cher qu’une version papier, parfois c’est l’inverse. Vous pouvez comparer les deux prix directement sur la page produit. Si vous avez un titre précis en tête, je peux vous aider à vérifier les deux options.",False,
204974,アマゾンで頼んでたやつ来た https://t.co/TkHJ2rQIZ7,general_other,general_other,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,ご利用いただきありがとうございます。お届けいただいた商品についてご不明点やご質問がございましたら、お気軽にお知らせください。,True,
319501,@AmazonHelp I have already done that before. I did it again.,general_other,ERROR,ERROR,,,False,No JSON object found in Groq response.
11064,"@AmazonHelp it was doing this a few days ago and a factory reset dixednit, for two days. A hard reboot did not resolve.",technical_device,technical_device,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,"It sounds like a recurring device issue. Please try clearing the app data and restarting the device. If the problem persists, let us know here: https://t.co/hApLpMlfHN",True,
130783,Amazon keeps fucking cancelling my order. Doesn’t even tell me why,return_cancellation,return_cancellation,ESCALATE,High-risk intent: return_cancellation requires human handling.,"I’m sorry you’re experiencing repeated cancellations. Orders can be cancelled for a few reasons, such as the item being out of stock, a payment authorization issue, or a seller‑related problem. You can view the specific cancellation reason in the order details on the Amazon app or website. If you need a refund or further assistance, let me know your order number (or check the order details for the refund status) and I’ll help you resolve it.",True,
291743,"@AmazonHelp The seller had asked us to return a product that was broken in transit, once it was shipped he stopped replying to emails",return_cancellation,product_seller,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,I’m sorry you’re having trouble with the seller. I’ve opened a case to help resolve this and will keep you updated.,False,
264753,Dear @115850 Thank u 4 ur pathetic service delivery &amp; customer experience. Don't fool customer on the name of Prime &amp;1 day delivery.,complaint_service,delivery_missing,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,"I’m sorry your order didn’t arrive as promised. Please check the order status in your account or use the tracking link. If you need further help, you can contact us here: https://t.co/vlvfJrlYEH.",False,
108288,.@6325 not sure why my @115821 account always seems to get disconnected. What’s up?,account_prime,account_prime,ESCALATE,High-risk intent: account_prime requires human handling.,I’m sorry you’re experiencing disconnections with your account. Could you let me know if you’re seeing any error messages or if this happens when you try to log in? I’ll do my best to help you get back online.,True,
206738,@AmazonHelp No on both accounts,general_other,account_prime,ESCALATE,High-risk intent: account_prime requires human handling.,"Thanks for letting us know. If you’re having trouble accessing your account or suspect unauthorized use, we can help you secure it. Please let us know what you’re experiencing and we’ll guide you through the next steps.",False,
318583,@115850 @1560 Tried contacting delivery boy on +91800709912 who is either disconnecting or not answering my calls,complaint_service,delivery_missing,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,I’m sorry for the inconvenience. Please contact our customer service team via https://t.co/vlvfJr4nN9 and they’ll help you resolve the delivery issue.,False,
284364,"Ay @115821 I got free two day shipping, yet my package won't arrive for 6 days...",delivery_missing,delivery_missing,AUTO,Known low-risk intent with strong historical evidence (top similarity=1.000).,"I’m sorry for the delay. The two‑day window starts when the item is shipped and is counted in business days. Please check the tracking number in your order details. If it still shows delayed, let me know and I’ll help you further.",True,
