example_id,customer_text,amazon_reply,intent
1,@AmazonHelp @115851 I have shared the details twice. Have you all gone crazy. Such service to a prime customer. Please initiate refund,@162537 Apologies for the confusion. We've received your details and we'll reach out to you with an update at earliest. ^SV,refund_payment
2,@AmazonHelp does the version of Reputation that you sell definitely come with the poster?,@125389 Thanks for reaching out! We have a couple options of the album available. Can you send a link of the one your seeing? ^AH,product_seller
3,@AmazonHelp what happened to my complain. Still no update,@171843 Could you please confirm whether you have filed A-Z claim on the order using the link provided earlier ? ^AR,general_other
4,@AmazonHelp Are you guys nuts? How can u ask me to wait... bloddy idiots from past three days I am waiting...what r u guys? Stupid assholes? U don't have integrity,@120701 correspondence &amp; reply?  I haven't seen any details with your name or Twitter handle till now. 3/3 ^MJ,complaint_service
5,Amazonから仮面ライダーエグゼイドのBlu-rayの三巻が届いたー！(๑&gt;◡&lt;๑) https://t.co/e3d81wW8Yt,"@171312 お待たせいたしました～！これからお楽しみタイムですね♪
Amazonのご利用、ありがとうございますm(*-ω-)m RI",general_other
6,"昨日頼んだAmazonさんが…先程届く…早すぎません⁈
((((；ﾟДﾟ)))))))","@125686 |ω・).｡oO(早すぎましたか？？？）
Amazonをご利用いただき、誠にありがとうございます！
またのご利用お待ちしております(*´︶`*) TY",general_other
7,"@115821 @11088 @AmazonHelp thanks, still hasn't shipped. Delivery says today, tomorrow or Friday so we shall see.",@164606 Feel free to let us know if you haven't received it by Friday. We want to make sure you're taken care of. ^GG,delivery_missing
8,"Dear @115821 @AmazonHelp TWO-day shipping does not mean ""ships two days after ordering."" #prime #primeFAIL",@186346 Hi there! It will take up to two business days after an item ships to reach you with Two-Day Shipping: https://t.co/5E3vCjzEID ^WJ,delivery_missing
9,@AmazonHelp Tried to do this but to no avail still none the wiser as to where my items are,"@184861 Were you able to use the link to reach out to us? If so, were we able to offer any additional insight or information? ^NM",delivery_missing
10,@115850 I really enjoy online shopping from #AmazonIndia,"@183122 What exactly makes your shopping with us so enjoyable? Just inquisitive! ;)
^SI",general_other
